date,code,action,price,shares,pnl,fee,reason
2024-01-12,600346,buy,11.50171259,10600,0.0,30.510017901863495,
2024-01-12,600362,buy,16.91676832,7200,0.0,30.480633158975994,
2024-01-12,600989,buy,13.68977369,8900,0.0,30.490206206710248,
2024-01-26,601100,sell,49.8717567,2600,919.5583929870045,291.74977669500004,
2024-01-26,600438,sell,25.03317292,5100,2667.4647521340084,287.255659257,
2024-01-26,600066,sell,13.92495693,9100,3744.362788143262,285.11349314175004,
2024-01-26,600660,sell,35.6937233,3300,-2537.774799202496,265.0258955025,
2024-01-26,601058,sell,10.67807919,10600,-9347.177377297485,254.67218868150005,
2024-01-26,601021,sell,52.21991469,2400,2003.0162370660255,281.98753932600005,
2024-01-26,600346,sell,11.73416434,10600,2062.210577037011,279.85981950900003,
2024-01-26,600362,sell,17.17831968,7200,1483.0802812800393,278.28877881600005,
2024-01-26,600989,sell,13.14331335,8900,-5248.530861674735,263.19484983375,
2024-01-26,601136,buy,18.3112804,6700,0.0,30.702066064670003,
2024-01-26,600050,buy,4.287101,28800,0.0,30.897994327199996,
2024-01-26,600482,buy,18.66582858,6600,0.0,30.829415774156995,
